County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
49 - Sonoma,12/3/2015,In Closure,"$132,131,578.00 ",35,Bay Area Counties
50 - Stanislaus,12/3/2015,In Review,"$11,711,500.00 ",15,
50 - Stanislaus,12/3/2015,Pending Construction,"$3,258,216.00 ",17,
50 - Stanislaus,12/3/2015,In Construction,"$29,974,283.00 ",39,
50 - Stanislaus,12/3/2015,In Closure,"$5,156,335.00 ",20,
51 - Sutter,12/3/2015,In Review,$0.00 ,1,
51 - Sutter,12/3/2015,Pending Construction,"$12,696,000.00 ",3,
51 - Sutter,12/3/2015,In Construction,"$280,767.00 ",2,
51 - Sutter,12/3/2015,In Closure,0,0,
52 - Tehama,12/3/2015,In Review,"$433,000.00 ",2,
52 - Tehama,12/3/2015,Pending Construction,"$548,636.00 ",3,
52 - Tehama,12/3/2015,In Construction,"$2,576,244.00 ",9,
52 - Tehama,12/3/2015,In Closure,"$579,078.00 ",4,
53 - Trinity,12/3/2015,In Review,"$140,000.00 ",1,
53 - Trinity,12/3/2015,Pending Construction,"$288,500.00 ",3,
53 - Trinity,12/3/2015,In Construction,"$1,382,817.00 ",1,
53 - Trinity,12/3/2015,In Closure,"$115,605.00 ",1,
54 - Tulare,12/3/2015,In Review,"$25,832,389.00 ",12,
54 - Tulare,12/3/2015,Pending Construction,"$4,198,800.00 ",9,
54 - Tulare,12/3/2015,In Construction,"$78,827,705.00 ",22,
54 - Tulare,12/3/2015,In Closure,"$1,157,364.00 ",5,
55 - Tuolumne,12/3/2015,In Review,"$68,000.00 ",1,
55 - Tuolumne,12/3/2015,Pending Construction,"$1,817,602.00 ",1,
55 - Tuolumne,12/3/2015,In Construction,"$5,000.00 ",1,
55 - Tuolumne,12/3/2015,In Closure,"$575,861.00 ",3,
56 - Ventura,12/3/2015,In Review,"$76,272,597.00 ",50,Greater Los Angeles Counties
56 - Ventura,12/3/2015,Pending Construction,"$26,967,636.00 ",36,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Construction,"$548,731,262.00 ",96,Greater Los Angeles Counties
56 - Ventura,12/3/2015,In Closure,"$39,849,981.00 ",31,Greater Los Angeles Counties
57 - Yolo,12/3/2015,In Review,"$3,551,086.00 ",4,Greater Sacramento Counties
57 - Yolo,12/3/2015,Pending Construction,"$2,970,726.00 ",12,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Construction,"$4,482,805.00 ",13,Greater Sacramento Counties
57 - Yolo,12/3/2015,In Closure,"$823,730.00 ",2,Greater Sacramento Counties
58 - Yuba,12/3/2015,In Review,"$4,602,909.00 ",6,
58 - Yuba,12/3/2015,Pending Construction,"$5,510,000.00 ",5,
58 - Yuba,12/3/2015,In Construction,"$96,453,310.00 ",5,
58 - Yuba,12/3/2015,In Closure,"$44,739,275.00 ",2,
01 - Alameda,12/17/2015,In Review,"$140,576,827.00 ",64,Bay Area Counties
01 - Alameda,12/17/2015,Pending Construction,"$75,054,511.00 ",97,Bay Area Counties
01 - Alameda,12/17/2015,In Construction,"$529,178,223.00 ",136,Bay Area Counties
01 - Alameda,12/17/2015,In Closure,"$178,778,662.00 ",86,Bay Area Counties
02 - Alpine,12/17/2015,In Review,0,0,
02 - Alpine,12/17/2015,Pending Construction,0,0,
02 - Alpine,12/17/2015,In Construction,0,0,
02 - Alpine,12/17/2015,In Closure,0,0,
03 - Amador,12/17/2015,In Review,"$400,000.00 ",1,
03 - Amador,12/17/2015,Pending Construction,"$83,225.00 ",3,
03 - Amador,12/17/2015,In Construction,"$6,024,595.00 ",4,
03 - Amador,12/17/2015,In Closure,"$1,306,353.00 ",3,
04 - Butte,12/17/2015,In Review,"$1,347,167.00 ",4,
04 - Butte,12/17/2015,Pending Construction,"$5,792,854.00 ",10,
04 - Butte,12/17/2015,In Construction,"$2,821,915.00 ",10,
04 - Butte,12/17/2015,In Closure,"$97,595,502.00 ",7,
05 - Calaveras,12/17/2015,In Review,"$115,000.00 ",1,
05 - Calaveras,12/17/2015,Pending Construction,"$73,423.00 ",1,
05 - Calaveras,12/17/2015,In Construction,"$137,400.00 ",2,
05 - Calaveras,12/17/2015,In Closure,"$398,844.00 ",4,
06 - Colusa,12/17/2015,In Review,0,0,
06 - Colusa,12/17/2015,Pending Construction,0,0,
06 - Colusa,12/17/2015,In Construction,0,0,
06 - Colusa,12/17/2015,In Closure,"$137,066.00 ",3,
07 - Contra Costa,12/17/2015,In Review,"$25,989,003.00 ",25,Bay Area Counties
07 - Contra Costa,12/17/2015,Pending Construction,"$11,692,865.00 ",30,Bay Area Counties
07 - Contra Costa,12/17/2015,In Construction,"$41,464,569.00 ",66,Bay Area Counties
07 - Contra Costa,12/17/2015,In Closure,"$10,511,315.00 ",28,Bay Area Counties
08 - Del Norte,12/17/2015,In Review,"$2,140,000.00 ",2,
08 - Del Norte,12/17/2015,Pending Construction,"$10,000.00 ",1,
08 - Del Norte,12/17/2015,In Construction,"$1,431,517.00 ",6,
08 - Del Norte,12/17/2015,In Closure,"$1,282,552.00 ",1,
09 - El Dorado,12/17/2015,In Review,"$5,562,540.00 ",5,Greater Sacramento Counties
09 - El Dorado,12/17/2015,Pending Construction,"$116,380.00 ",2,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Construction,"$14,441,902.00 ",13,Greater Sacramento Counties
09 - El Dorado,12/17/2015,In Closure,"$278,790.00 ",4,Greater Sacramento Counties
10 - Fresno,12/17/2015,In Review,"$30,676,046.00 ",20,
10 - Fresno,12/17/2015,Pending Construction,"$9,659,165.00 ",38,
10 - Fresno,12/17/2015,In Construction,"$76,540,485.00 ",93,
10 - Fresno,12/17/2015,In Closure,"$92,243,856.00 ",42,
11 - Glenn,12/17/2015,In Review,"$12,912,075.00 ",1,
11 - Glenn,12/17/2015,Pending Construction,"$50,000.00 ",1,
11 - Glenn,12/17/2015,In Construction,"$284,685.00 ",1,
11 - Glenn,12/17/2015,In Closure,0,0,
12 - Humboldt,12/17/2015,In Review,"$12,077,932.00 ",10,
12 - Humboldt,12/17/2015,Pending Construction,"$415,200.00 ",6,
12 - Humboldt,12/17/2015,In Construction,"$89,569,057.00 ",18,
12 - Humboldt,12/17/2015,In Closure,"$1,047,514.00 ",5,
13 - Imperial,12/17/2015,In Review,"$43,236,000.00 ",4,
13 - Imperial,12/17/2015,Pending Construction,"$20,000,000.00 ",3,
13 - Imperial,12/17/2015,In Construction,"$9,243,900.00 ",6,
13 - Imperial,12/17/2015,In Closure,"$334,010.00 ",3,
14 - Inyo,12/17/2015,In Review,"$30,000.00 ",1,
14 - Inyo,12/17/2015,Pending Construction,0,0,
14 - Inyo,12/17/2015,In Construction,0,0,
14 - Inyo,12/17/2015,In Closure,"$45,000.00 ",1,
15 - Kern,12/17/2015,In Review,"$29,096,020.00 ",28,
15 - Kern,12/17/2015,Pending Construction,"$3,672,277.00 ",18,
15 - Kern,12/17/2015,In Construction,"$68,066,973.00 ",38,
15 - Kern,12/17/2015,In Closure,"$2,304,531.00 ",10,
16 - Kings,12/17/2015,In Review,"$150,000.00 ",1,
16 - Kings,12/17/2015,Pending Construction,"$267,889.00 ",6,
16 - Kings,12/17/2015,In Construction,"$28,313,428.00 ",3,
16 - Kings,12/17/2015,In Closure,"$5,670.00 ",1,
17 - Lake,12/17/2015,In Review,"$787,590.00 ",6,
17 - Lake,12/17/2015,Pending Construction,"$992,000.00 ",4,
17 - Lake,12/17/2015,In Construction,"$3,266,943.00 ",8,
17 - Lake,12/17/2015,In Closure,"$9,665,332.00 ",6,
18 - Lassen,12/17/2015,In Review,0,0,
18 - Lassen,12/17/2015,Pending Construction,"$1,002,600.00 ",3,
18 - Lassen,12/17/2015,In Construction,"$1,513,531.00 ",11,
18 - Lassen,12/17/2015,In Closure,"$671,182.00 ",3,
19 - Los Angeles,12/17/2015,In Review,"$578,488,640.00 ",524,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,Pending Construction,"$236,070,777.00 ",502,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Construction,"$932,733,823.00 ",897,Greater Los Angeles Counties
19 - Los Angeles,12/17/2015,In Closure,"$1,165,586,102.00 ",518,Greater Los Angeles Counties
20 - Madera,12/17/2015,In Review,"$2,909,783.00 ",7,
20 - Madera,12/17/2015,Pending Construction,"$2,183,740.00 ",14,
20 - Madera,12/17/2015,In Construction,"$5,563,225.00 ",19,
20 - Madera,12/17/2015,In Closure,"$4,355,681.00 ",15,
21 - Marin,12/17/2015,In Review,"$212,784,395.00 ",18,Bay Area Counties
21 - Marin,12/17/2015,Pending Construction,"$6,809,995.00 ",20,Bay Area Counties
21 - Marin,12/17/2015,In Construction,"$85,842,878.00 ",28,Bay Area Counties
21 - Marin,12/17/2015,In Closure,"$20,028,504.00 ",14,Bay Area Counties
22 - Mariposa,12/17/2015,In Review,$0.00 ,0,
22 - Mariposa,12/17/2015,Pending Construction,"$204,686.00 ",2,
22 - Mariposa,12/17/2015,In Construction,"$163,850.00 ",1,
22 - Mariposa,12/17/2015,In Closure,$0.00 ,0,
23 - Mendocino,12/17/2015,In Review,"$3,472,338.00 ",14,
23 - Mendocino,12/17/2015,Pending Construction,"$128,000.00 ",4,
23 - Mendocino,12/17/2015,In Construction,"$61,690,674.00 ",24,
23 - Mendocino,12/17/2015,In Closure,"$679,955.00 ",11,
24 - Merced,12/17/2015,In Review,"$105,266.00 ",5,
24 - Merced,12/17/2015,Pending Construction,"$230,500.00 ",5,
24 - Merced,12/17/2015,In Construction,"$13,142,736.00 ",9,
24 - Merced,12/17/2015,In Closure,"$407,461.00 ",4,
25 - Modoc,12/17/2015,In Review,$0.00 ,0,
25 - Modoc,12/17/2015,Pending Construction,"$45,000.00 ",1,
25 - Modoc,12/17/2015,In Construction,"$9,500.00 ",1,
25 - Modoc,12/17/2015,In Closure,$0.00 ,0,
26 - Mono,12/17/2015,In Review,0,0,
26 - Mono,12/17/2015,Pending Construction,"$60,000.00 ",1,
26 - Mono,12/17/2015,In Construction,"$21,398.00 ",3,
26 - Mono,12/17/2015,In Closure,0,0,
27 - Monterey,12/17/2015,In Review,"$12,016,597.00 ",16,
27 - Monterey,12/17/2015,Pending Construction,"$4,121,659.00 ",18,
27 - Monterey,12/17/2015,In Construction,"$40,838,381.00 ",19,
27 - Monterey,12/17/2015,In Closure,$0.00 ,0,
28 - Napa,12/17/2015,In Review,"$2,739,827.00 ",21,Bay Area Counties
28 - Napa,12/17/2015,Pending Construction,"$659,314.00 ",10,Bay Area Counties
28 - Napa,12/17/2015,In Construction,"$3,461,788.00 ",17,Bay Area Counties
28 - Napa,12/17/2015,In Closure,"$85,472,591.00 ",16,Bay Area Counties
29 - Nevada,12/17/2015,In Review,"$8,292,221.00 ",13,
29 - Nevada,12/17/2015,Pending Construction,"$682,152.00 ",5,
29 - Nevada,12/17/2015,In Construction,"$46,336,369.00 ",21,
29 - Nevada,12/17/2015,In Closure,"$10,854,903.00 ",10,
30 - Orange,12/17/2015,In Review,"$94,121,905.00 ",76,Greater Los Angeles Counties
30 - Orange,12/17/2015,Pending Construction,"$13,892,842.00 ",55,Greater Los Angeles Counties
30 - Orange,12/17/2015,In Construction,"$106,009,758.00 ",187,Greater Los Angeles Counties
30 - Orange,12/17/2015,In Closure,"$50,257,795.00 ",170,Greater Los Angeles Counties
31 - Placer,12/17/2015,In Review,"$2,640,866.00 ",16,Greater Sacramento Counties
31 - Placer,12/17/2015,Pending Construction,"$1,419,623.00 ",10,Greater Sacramento Counties
31 - Placer,12/17/2015,In Construction,"$16,213,861.00 ",38,Greater Sacramento Counties
31 - Placer,12/17/2015,In Closure,"$19,507,648.00 ",22,Greater Sacramento Counties
32 - Plumas,12/17/2015,In Review,"$30,000.00 ",1,
32 - Plumas,12/17/2015,Pending Construction,"$185,555.00 ",6,
32 - Plumas,12/17/2015,In Construction,"$45,900.00 ",1,
32 - Plumas,12/17/2015,In Closure,$0.00 ,0,
33 - Riverside,12/17/2015,In Review,"$114,705,195.00 ",52,
33 - Riverside,12/17/2015,Pending Construction,"$188,443,096.00 ",76,
33 - Riverside,12/17/2015,In Construction,"$269,408,100.00 ",120,
33 - Riverside,12/17/2015,In Closure,"$20,358,073.00 ",48,
34 - Sacramento,12/17/2015,In Review,"$73,627,918.00 ",54,Greater Sacramento Counties
34 - Sacramento,12/17/2015,Pending Construction,"$125,657,315.00 ",65,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Construction,"$300,779,389.00 ",135,Greater Sacramento Counties
34 - Sacramento,12/17/2015,In Closure,"$116,754,307.00 ",68,Greater Sacramento Counties
35 - San Benito,12/17/2015,In Review,$0.00 ,0,
35 - San Benito,12/17/2015,Pending Construction,"$270,388.00 ",3,
35 - San Benito,12/17/2015,In Construction,"$14,048,205.00 ",4,
35 - San Benito,12/17/2015,In Closure,$0.00 ,0,
36 - San Bernardino,12/17/2015,In Review,"$664,831,257.00 ",56,
36 - San Bernardino,12/17/2015,Pending Construction,"$18,397,512.00 ",90,
36 - San Bernardino,12/17/2015,In Construction,"$211,446,566.00 ",108,
36 - San Bernardino,12/17/2015,In Closure,"$5,592,818.00 ",46,
37 - San Diego,12/17/2015,In Review,"$203,032,839.00 ",100,
37 - San Diego,12/17/2015,Pending Construction,"$45,710,166.00 ",113,
37 - San Diego,12/17/2015,In Construction,"$946,906,399.00 ",227,
37 - San Diego,12/17/2015,In Closure,"$37,981,264.00 ",76,
38 - San Francisco,12/17/2015,In Review,"$418,367,220.00 ",48,Bay Area Counties
38 - San Francisco,12/17/2015,Pending Construction,"$35,286,094.00 ",42,Bay Area Counties
38 - San Francisco,12/17/2015,In Construction,"$1,235,580,832.00 ",132,Bay Area Counties
38 - San Francisco,12/17/2015,In Closure,"$400,636,307.00 ",27,Bay Area Counties
39 - San Joaquin,12/17/2015,In Review,"$40,001,873.00 ",21,
39 - San Joaquin,12/17/2015,Pending Construction,"$3,523,723.00 ",16,
39 - San Joaquin,12/17/2015,In Construction,"$16,762,543.00 ",50,
39 - San Joaquin,12/17/2015,In Closure,"$9,295,341.00 ",27,
40 - San Luis Obispo,12/17/2015,In Review,"$2,045,486.00 ",8,
40 - San Luis Obispo,12/17/2015,Pending Construction,"$695,806.00 ",11,
40 - San Luis Obispo,12/17/2015,In Construction,"$4,546,317.00 ",14,
40 - San Luis Obispo,12/17/2015,In Closure,"$7,600,365.00 ",18,
41 - San Mateo,12/17/2015,In Review,"$6,993,163.00 ",25,Bay Area Counties
41 - San Mateo,12/17/2015,Pending Construction,"$138,384,184.00 ",37,Bay Area Counties
41 - San Mateo,12/17/2015,In Construction,"$53,117,976.00 ",31,Bay Area Counties
41 - San Mateo,12/17/2015,In Closure,"$6,801,359.00 ",17,Bay Area Counties
42 - Santa Barbara,12/17/2015,In Review,"$16,901,170.00 ",19,
42 - Santa Barbara,12/17/2015,Pending Construction,"$1,099,008.00 ",12,
42 - Santa Barbara,12/17/2015,In Construction,"$379,365,850.00 ",61,
42 - Santa Barbara,12/17/2015,In Closure,"$13,440,538.00 ",27,
43 - Santa Clara,12/17/2015,In Review,"$244,255,404.00 ",83,Bay Area Counties
43 - Santa Clara,12/17/2015,Pending Construction,"$34,589,654.00 ",52,Bay Area Counties
43 - Santa Clara,12/17/2015,In Construction,"$1,692,132,454.00 ",124,Bay Area Counties
43 - Santa Clara,12/17/2015,In Closure,"$140,588,019.00 ",39,Bay Area Counties
44 - Santa Cruz,12/17/2015,In Review,"$15,911,994.00 ",10,
44 - Santa Cruz,12/17/2015,Pending Construction,"$391,009.00 ",5,
44 - Santa Cruz,12/17/2015,In Construction,"$2,564,037.00 ",10,
44 - Santa Cruz,12/17/2015,In Closure,"$7,184,549.00 ",6,
45 - Shasta,12/17/2015,In Review,"$2,695,935.00 ",14,
45 - Shasta,12/17/2015,Pending Construction,"$796,850.00 ",10,
45 - Shasta,12/17/2015,In Construction,"$7,887,866.00 ",19,
45 - Shasta,12/17/2015,In Closure,"$5,153,253.00 ",26,
46 - Sierra,12/17/2015,In Review,$0.00 ,0,
46 - Sierra,12/17/2015,Pending Construction,$0.00 ,0,
46 - Sierra,12/17/2015,In Construction,$0.00 ,0,
46 - Sierra,12/17/2015,In Closure,$0.00 ,0,
47 - Siskiyou,12/17/2015,In Review,"$1,594,000.00 ",4,
47 - Siskiyou,12/17/2015,Pending Construction,"$326,000.00 ",4,
47 - Siskiyou,12/17/2015,In Construction,"$1,420,500.00 ",6,
47 - Siskiyou,12/17/2015,In Closure,"$1,264,130.00 ",9,
48 - Solano,12/17/2015,In Review,"$58,692,045.00 ",12,Bay Area Counties
48 - Solano,12/17/2015,Pending Construction,"$1,006,797.00 ",9,Bay Area Counties
48 - Solano,12/17/2015,In Construction,"$46,058,354.00 ",34,Bay Area Counties
48 - Solano,12/17/2015,In Closure,"$9,388,058.00 ",25,Bay Area Counties
49 - Sonoma,12/17/2015,In Review,"$6,003,396.00 ",25,Bay Area Counties
49 - Sonoma,12/17/2015,Pending Construction,"$1,636,606.00 ",20,Bay Area Counties
49 - Sonoma,12/17/2015,In Construction,"$18,068,748.00 ",64,Bay Area Counties
49 - Sonoma,12/17/2015,In Closure,"$133,079,823.00 ",36,Bay Area Counties
50 - Stanislaus,12/17/2015,In Review,"$11,711,500.00 ",15,
50 - Stanislaus,12/17/2015,Pending Construction,"$2,798,064.00 ",15,
50 - Stanislaus,12/17/2015,In Construction,"$30,302,684.00 ",40,
50 - Stanislaus,12/17/2015,In Closure,"$5,295,087.00 ",21,
51 - Sutter,12/17/2015,In Review,"$3,200.00 ",2,
51 - Sutter,12/17/2015,Pending Construction,"$12,696,000.00 ",3,
51 - Sutter,12/17/2015,In Construction,"$280,767.00 ",2,
51 - Sutter,12/17/2015,In Closure,$0.00 ,0,
52 - Tehama,12/17/2015,In Review,"$270,000.00 ",1,
52 - Tehama,12/17/2015,Pending Construction,"$611,636.00 ",3,
52 - Tehama,12/17/2015,In Construction,"$2,676,244.00 ",10,
52 - Tehama,12/17/2015,In Closure,"$579,078.00 ",4,
53 - Trinity,12/17/2015,In Review,"$140,000.00 ",1,
53 - Trinity,12/17/2015,Pending Construction,"$288,500.00 ",3,
53 - Trinity,12/17/2015,In Construction,"$1,382,817.00 ",1,
53 - Trinity,12/17/2015,In Closure,"$115,605.00 ",1,
54 - Tulare,12/17/2015,In Review,"$25,551,672.00 ",8,
54 - Tulare,12/17/2015,Pending Construction,"$4,469,517.00 ",11,
54 - Tulare,12/17/2015,In Construction,"$78,885,705.00 ",23,
54 - Tulare,12/17/2015,In Closure,"$1,157,364.00 ",5,
55 - Tuolumne,12/17/2015,In Review,"$68,000.00 ",1,
55 - Tuolumne,12/17/2015,Pending Construction,$0.00 ,0,
55 - Tuolumne,12/17/2015,In Construction,"$1,827,602.00 ",2,
55 - Tuolumne,12/17/2015,In Closure,"$575,861.00 ",3,
56 - Ventura,12/17/2015,In Review,"$76,384,107.00 ",46,Greater Los Angeles Counties
56 - Ventura,12/17/2015,Pending Construction,"$27,790,125.00 ",38,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Construction,"$547,648,081.00 ",81,Greater Los Angeles Counties
56 - Ventura,12/17/2015,In Closure,"$42,264,373.00 ",46,Greater Los Angeles Counties
57 - Yolo,12/17/2015,In Review,"$3,770,500.00 ",4,Greater Sacramento Counties
57 - Yolo,12/17/2015,Pending Construction,"$2,773,312.00 ",11,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Construction,"$4,831,775.00 ",15,Greater Sacramento Counties
57 - Yolo,12/17/2015,In Closure,"$823,730.00 ",2,Greater Sacramento Counties
58 - Yuba,12/17/2015,In Review,"$4,844,909.00 ",7,
58 - Yuba,12/17/2015,Pending Construction,"$5,510,000.00 ",5,
58 - Yuba,12/17/2015,In Construction,"$96,455,810.00 ",5,
58 - Yuba,12/17/2015,In Closure,"$44,739,275.00 ",2,
01 - Alameda,12/31/2015,In Review,"$142,250,886.00 ",63,Bay Area Counties
01 - Alameda,12/31/2015,Pending Construction,"$74,813,876.00 ",98,Bay Area Counties
01 - Alameda,12/31/2015,In Construction,"$529,734,738.00 ",140,Bay Area Counties
01 - Alameda,12/31/2015,In Closure,"$68,128,351.00 ",83,Bay Area Counties
02 - Alpine,12/31/2015,In Review,$0.00 ,0,
02 - Alpine,12/31/2015,Pending Construction,$0.00 ,0,
02 - Alpine,12/31/2015,In Construction,$0.00 ,0,
02 - Alpine,12/31/2015,In Closure,$0.00 ,0,
03 - Amador,12/31/2015,In Review,"$400,000.00 ",1,
03 - Amador,12/31/2015,Pending Construction,"$83,225.00 ",3,
03 - Amador,12/31/2015,In Construction,"$6,024,595.00 ",4,
03 - Amador,12/31/2015,In Closure,"$1,306,353.00 ",3,
04 - Butte,12/31/2015,In Review,"$1,347,167.00 ",4,
04 - Butte,12/31/2015,Pending Construction,"$5,789,854.00 ",9,
04 - Butte,12/31/2015,In Construction,"$2,826,915.00 ",11,
04 - Butte,12/31/2015,In Closure,"$97,595,502.00 ",7,
05 - Calaveras,12/31/2015,In Review,"$265,000.00 ",2,
05 - Calaveras,12/31/2015,Pending Construction,"$73,423.00 ",1,
05 - Calaveras,12/31/2015,In Construction,"$137,400.00 ",2,
05 - Calaveras,12/31/2015,In Closure,"$398,844.00 ",4,
06 - Colusa,12/31/2015,In Review,$0.00 ,0,
06 - Colusa,12/31/2015,Pending Construction,$0.00 ,0,
06 - Colusa,12/31/2015,In Construction,$0.00 ,0,
06 - Colusa,12/31/2015,In Closure,"$137,066.00 ",3,
07 - Contra Costa,12/31/2015,In Review,"$26,299,725.00 ",23,Bay Area Counties
07 - Contra Costa,12/31/2015,Pending Construction,"$12,282,907.00 ",33,Bay Area Counties
07 - Contra Costa,12/31/2015,In Construction,"$40,649,993.00 ",60,Bay Area Counties
07 - Contra Costa,12/31/2015,In Closure,"$12,227,860.00 ",33,Bay Area Counties
08 - Del Norte,12/31/2015,In Review,"$2,140,000.00 ",2,
08 - Del Norte,12/31/2015,Pending Construction,$0.00 ,0,
08 - Del Norte,12/31/2015,In Construction,"$1,465,511.00 ",7,
08 - Del Norte,12/31/2015,In Closure,"$1,282,552.00 ",1,
09 - El Dorado,12/31/2015,In Review,"$5,592,540.00 ",6,Greater Sacramento Counties
09 - El Dorado,12/31/2015,Pending Construction,"$116,380.00 ",2,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Construction,"$14,441,902.00 ",13,Greater Sacramento Counties
09 - El Dorado,12/31/2015,In Closure,"$223,815.00 ",3,Greater Sacramento Counties
10 - Fresno,12/31/2015,In Review,"$30,706,046.00 ",20,
10 - Fresno,12/31/2015,Pending Construction,"$8,245,726.00 ",31,
10 - Fresno,12/31/2015,In Construction,"$78,559,274.00 ",102,
10 - Fresno,12/31/2015,In Closure,"$92,243,856.00 ",42,
11 - Glenn,12/31/2015,In Review,"$12,912,075.00 ",1,
11 - Glenn,12/31/2015,Pending Construction,"$50,000.00 ",1,
11 - Glenn,12/31/2015,In Construction,"$284,685.00 ",1,
11 - Glenn,12/31/2015,In Closure,$0.00 ,0,
12 - Humboldt,12/31/2015,In Review,"$13,577,932.00 ",12,
12 - Humboldt,12/31/2015,Pending Construction,"$415,200.00 ",6,
12 - Humboldt,12/31/2015,In Construction,"$89,569,057.00 ",18,
12 - Humboldt,12/31/2015,In Closure,"$1,047,514.00 ",5,
13 - Imperial,12/31/2015,In Review,"$43,235,000.00 ",3,
13 - Imperial,12/31/2015,Pending Construction,"$20,001,000.00 ",4,
13 - Imperial,12/31/2015,In Construction,"$9,243,900.00 ",6,
13 - Imperial,12/31/2015,In Closure,"$334,010.00 ",3,
14 - Inyo,12/31/2015,In Review,"$30,000.00 ",1,
14 - Inyo,12/31/2015,Pending Construction,$0.00 ,0,
14 - Inyo,12/31/2015,In Construction,$0.00 ,0,
14 - Inyo,12/31/2015,In Closure,"$45,000.00 ",1,
15 - Kern,12/31/2015,In Review,"$19,835,319.00 ",27,
15 - Kern,12/31/2015,Pending Construction,"$13,274,377.00 ",22,
15 - Kern,12/31/2015,In Construction,"$68,083,323.00 ",37,
15 - Kern,12/31/2015,In Closure,"$2,380,531.00 ",12,
16 - Kings,12/31/2015,In Review,"$150,000.00 ",1,
16 - Kings,12/31/2015,Pending Construction,"$267,889.00 ",6,
16 - Kings,12/31/2015,In Construction,"$28,313,428.00 ",3,
16 - Kings,12/31/2015,In Closure,"$5,670.00 ",1,
17 - Lake,12/31/2015,In Review,"$857,590.00 ",7,
17 - Lake,12/31/2015,Pending Construction,"$992,000.00 ",4,
17 - Lake,12/31/2015,In Construction,"$3,266,943.00 ",8,
17 - Lake,12/31/2015,In Closure,"$9,658,980.00 ",5,
18 - Lassen,12/31/2015,In Review,$0.00 ,0,
18 - Lassen,12/31/2015,Pending Construction,"$1,002,600.00 ",3,
18 - Lassen,12/31/2015,In Construction,"$1,513,531.00 ",11,
18 - Lassen,12/31/2015,In Closure,"$671,182.00 ",3,
19 - Los Angeles,12/31/2015,In Review,"$496,548,380.00 ",527,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,Pending Construction,"$213,215,941.00 ",499,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Construction,"$951,222,404.00 ",904,Greater Los Angeles Counties
19 - Los Angeles,12/31/2015,In Closure,"$1,144,358,191.00 ",486,Greater Los Angeles Counties
20 - Madera,12/31/2015,In Review,"$2,490,783.00 ",5,
20 - Madera,12/31/2015,Pending Construction,"$2,208,471.00 ",12,
20 - Madera,12/31/2015,In Construction,"$5,265,216.00 ",20,
20 - Madera,12/31/2015,In Closure,"$5,048,159.00 ",17,
21 - Marin,12/31/2015,In Review,"$212,631,895.00 ",17,Bay Area Counties
21 - Marin,12/31/2015,Pending Construction,"$6,969,995.00 ",21,Bay Area Counties
21 - Marin,12/31/2015,In Construction,"$85,845,378.00 ",28,Bay Area Counties
21 - Marin,12/31/2015,In Closure,"$18,964,384.00 ",11,Bay Area Counties
22 - Mariposa,12/31/2015,In Review,$0.00 ,0,
22 - Mariposa,12/31/2015,Pending Construction,"$204,686.00 ",2,
22 - Mariposa,12/31/2015,In Construction,$0.00 ,0,
22 - Mariposa,12/31/2015,In Closure,"$163,850.00 ",1,
23 - Mendocino,12/31/2015,In Review,"$3,456,338.00 ",13,
23 - Mendocino,12/31/2015,Pending Construction,"$144,000.00 ",5,
23 - Mendocino,12/31/2015,In Construction,"$20,298,595.00 ",23,
23 - Mendocino,12/31/2015,In Closure,"$44,338,884.00 ",10,
24 - Merced,12/31/2015,In Review,"$405,266.00 ",6,
24 - Merced,12/31/2015,Pending Construction,"$230,500.00 ",5,
24 - Merced,12/31/2015,In Construction,"$13,142,736.00 ",9,
24 - Merced,12/31/2015,In Closure,"$407,461.00 ",4,
25 - Modoc,12/31/2015,In Review,$0.00 ,0,
25 - Modoc,12/31/2015,Pending Construction,"$45,000.00 ",1,
25 - Modoc,12/31/2015,In Construction,"$9,500.00 ",1,
25 - Modoc,12/31/2015,In Closure,$0.00 ,0,
26 - Mono,12/31/2015,In Review,$0.00 ,0,
26 - Mono,12/31/2015,Pending Construction,"$60,000.00 ",1,
26 - Mono,12/31/2015,In Construction,"$21,398.00 ",3,
26 - Mono,12/31/2015,In Closure,$0.00 ,0,
27 - Monterey,12/31/2015,In Review,"$11,846,937.00 ",16,
27 - Monterey,12/31/2015,Pending Construction,"$4,294,819.00 ",19,
27 - Monterey,12/31/2015,In Construction,"$40,837,931.00 ",18,
27 - Monterey,12/31/2015,In Closure,"$5,450.00 ",1,
28 - Napa,12/31/2015,In Review,"$3,496,657.00 ",27,Bay Area Counties
28 - Napa,12/31/2015,Pending Construction,"$659,314.00 ",10,Bay Area Counties
28 - Napa,12/31/2015,In Construction,"$3,461,788.00 ",17,Bay Area Counties
